"filename", "language", "PHP", "SCSS", "CSS", "comment", "blank", "total"
"c:\xampp\htdocs\Projet_fin_d_etude\app\Http\Livewire\Elearning\Modules\Notes\CreateOrUpdate.php", "PHP", 3, 0, 0, 0, 0, 3
"c:\xampp\htdocs\Projet_fin_d_etude\app\Http\Livewire\Elearning\Modules\Notes\Show.php", "PHP", 50, 0, 0, 0, 11, 61
"c:\xampp\htdocs\Projet_fin_d_etude\app\Http\Livewire\Resources\CreateCategory.php", "PHP", 33, 0, 0, 0, 8, 41
"c:\xampp\htdocs\Projet_fin_d_etude\app\Http\Livewire\Resources\CreateDocument.php", "PHP", 38, 0, 0, 0, 10, 48
"c:\xampp\htdocs\Projet_fin_d_etude\app\Http\Livewire\Resources\Index.php", "PHP", 27, 0, 0, 0, 9, 36
"c:\xampp\htdocs\Projet_fin_d_etude\app\Http\Livewire\Resources\IndexCategory.php", "PHP", 67, 0, 0, 2, 14, 83
"c:\xampp\htdocs\Projet_fin_d_etude\app\Http\Livewire\Resources\IndexDocument.php", "PHP", 55, 0, 0, 0, 13, 68
"c:\xampp\htdocs\Projet_fin_d_etude\app\Models\resources\Category.php", "PHP", 14, 0, 0, 0, 6, 20
"c:\xampp\htdocs\Projet_fin_d_etude\app\Models\resources\Document.php", "PHP", 14, 0, 0, 0, 5, 19
"c:\xampp\htdocs\Projet_fin_d_etude\database\migrations\2022_06_05_142719_create_categories_table.php", "PHP", 19, 0, 0, 10, 4, 33
"c:\xampp\htdocs\Projet_fin_d_etude\database\migrations\2022_06_05_142940_create_documents_table.php", "PHP", 23, 0, 0, 10, 4, 37
"c:\xampp\htdocs\Projet_fin_d_etude\public\css\app.css", "CSS", 0, 0, 354, 0, 2, 356
"c:\xampp\htdocs\Projet_fin_d_etude\resources\sass\component\_component.scss", "SCSS", 0, 1, 0, 0, 0, 1
"c:\xampp\htdocs\Projet_fin_d_etude\resources\sass\component\elearning\_elearning.scss", "SCSS", 0, 1, 0, 0, 0, 1
"c:\xampp\htdocs\Projet_fin_d_etude\resources\sass\component\elearning\_releve.scss", "SCSS", 0, 43, 0, 0, 2, 45
"c:\xampp\htdocs\Projet_fin_d_etude\resources\sass\component\posts\_post.scss", "SCSS", 0, 1, 0, 0, 0, 1
"c:\xampp\htdocs\Projet_fin_d_etude\resources\sass\component\resources\resources.scss", "SCSS", 0, 314, 0, 0, 52, 366
"c:\xampp\htdocs\Projet_fin_d_etude\resources\views\livewire\elearning\modules\notes\show.blade.php", "PHP", 416, 0, 0, 0, 6, 422
"c:\xampp\htdocs\Projet_fin_d_etude\resources\views\livewire\parts\nav.blade.php", "PHP", 0, 0, 0, 18, 0, 18
"c:\xampp\htdocs\Projet_fin_d_etude\resources\views\livewire\resources\create-category.blade.php", "PHP", 20, 0, 0, 0, 2, 22
"c:\xampp\htdocs\Projet_fin_d_etude\resources\views\livewire\resources\create-document.blade.php", "PHP", 23, 0, 0, 0, 1, 24
"c:\xampp\htdocs\Projet_fin_d_etude\resources\views\livewire\resources\index-category.blade.php", "PHP", 81, 0, 0, 0, 10, 91
"c:\xampp\htdocs\Projet_fin_d_etude\resources\views\livewire\resources\index-document.blade.php", "PHP", 67, 0, 0, 0, 3, 70
"c:\xampp\htdocs\Projet_fin_d_etude\resources\views\livewire\resources\index.blade.php", "PHP", 26, 0, 0, 0, 4, 30
"c:\xampp\htdocs\Projet_fin_d_etude\routes\web.php", "PHP", 2, 0, 0, 1, 0, 3
"Total", "-", 978, 360, 354, 41, 166, 1899